Domain,Primary domain,Name,Domain type,Organization,Status,Region,GovSystem,HTTP Support,HTTPS Support,Statuscode,Is archived,Archives,Archive priority,Archive Strategy,ASN,ASN Country code,IPs,GovType
gov.ru,,Сервер органов власти РФ,Иное,ФСО России,Активен,Российская Федерация,,Да,Нет,200,,,Наивысший,Web Archive,8291,RU,95.173.128.90,Федеральная исполнительная власть
sudrf.ru,,ГАС Правосудие,Сайт государственной информационной системы,Судебный департамент при Верховном суде РФ,Активен,Российская Федерация,"""ГАС РФ """"Правосудие""""""",Нет,Нет,,,,Наивысший,"Web Archive,Parser",12389,RU,79.133.87.8,Судебная власть
ssrf.ru,,Совет судей Российской Федерации,Иное,Судебный департамент при Верховном суде РФ,Активен,Российская Федерация,,Нет,Нет,,,,Наивысший,Web Archive,12389,RU,79.133.87.16,Судебная власть
vkks.ru,,Высшая квалификационная коллегия судей Российской Федерации ,Иное,Судебный департамент при Верховном суде РФ,Активен,Российская Федерация,,Да,Нет,200,,,Наивысший,Web Archive,12389,RU,79.133.87.16,Судебная власть
government.ru,,Официальный сайт Правительства РФ,Сайт органа власти,Правительство РФ,Активен,Российская Федерация,,Да,Нет,200,,,Наивысший,Web Archive,8291,RU,"95.173.136.162,95.173.136.163,95.173.136.168",Федеральная исполнительная власть
kremlin.ru,,Официальный сайт Президента РФ,Сайт органа власти,Администрация Президента РФ,Активен,Российская Федерация,,Да,Нет,200,,,Наивысший,Web Archive,8291,RU,"95.173.136.70,95.173.136.71,95.173.136.72",Федеральная исполнительная власть
mid.ru,,Официальный сайт МИД России,Сайт органа власти,МИД РФ,Активен,Российская Федерация,,Да,Да,200,,,Наивысший,Web Archive,57580,RU,194.85.30.210,Федеральная исполнительная власть
mil.ru,,Официальный сайт Минобороны России,Сайт органа власти,Минобороны РФ,Активен,Российская Федерация,,Да,Нет,200,,,Наивысший,Web Archive,209030,RU,82.202.189.138,Федеральная исполнительная власть
fstec.ru,,Официальный сайт ФСТЭК России,Сайт органа власти,ФСТЭК России,Активен,Российская Федерация,,Да,Да,403,,,Наивысший,Web Archive,43797,RU,95.173.157.54,Федеральная исполнительная власть
minjust.ru,minjust.gov.ru,Официальный сайт Минюста России,Сайт органа власти,Минюст России,Перенаправляет,Российская Федерация,,Да,Да,200,,,Не архивируется,,43797,RU,95.173.157.26,Федеральная исполнительная власть
minjust.gov.ru,,Официальный сайт Минюста России,Сайт органа власти,Минюст России,Активен,Российская Федерация,,Да,Да,200,,,Наивысший,Web Archive,43797,RU,95.173.157.26,Федеральная исполнительная власть
fsin.su,fsin.gov.ru,Официальный сайт ФСИН России,Сайт органа власти,ФСИН России,Перенаправляет,Российская Федерация,,Да,Нет,200,,,Не архивируется,,25159,RU,195.16.103.90,Федеральная исполнительная власть
fsin.gov.ru,,Официальный сайт ФСИН России,Сайт органа власти,ФСИН России,Активен,Российская Федерация,,Да,Нет,200,,,Наивысший,Web Archive,25159,RU,195.16.103.90,Федеральная исполнительная власть
fssprus.ru,fssp.gov.ru,Ранее использовавшийся для сайта ФССП России домен,Сайт органа власти,ФССП России,Перенаправляет,Российская Федерация,,Да,Да,403,,,Не архивируется,,43797,RU,"95.173.157.61,95.173.157.48",Федеральная исполнительная власть
fssp.gov.ru,,Официальный сайт ФССП России,Сайт органа власти,ФССП России,Активен,Российская Федерация,,Да,Да,403,,,Наивысший,Web Archive,43797,RU,"95.173.157.48,95.173.157.61",Федеральная исполнительная власть
roszdravnadzor.ru,roszdravnadzor.gov.ru,Официальный сайт Росздравнадзора,Сайт органа власти,Росздравнадзор,Перенаправляет,Российская Федерация,,Да,Да,403,,,Не архивируется,,43797,RU,95.173.145.58,Федеральная исполнительная власть
roszdravnadzor.gov.ru,,Официальный сайт Росздравнадзора,Сайт органа власти,Росздравнадзор,Активен,Российская Федерация,,Да,Да,403,,,Наивысший,Web Archive,43797,RU,95.173.145.58,Федеральная исполнительная власть
fmbaros.ru,fmba.gov.ru,Официальный сайт ФМБА России,Сайт органа власти,ФМБА России,Активен,Российская Федерация,,Да,Да,200,,,Наивысший,Web Archive,8359,RU,83.242.145.227,Федеральная исполнительная власть
mkrf.ru,culture.gov.ru,Официальный сайт Минкультуры России,Сайт органа власти,Минкультуры России,Перенаправляет,Российская Федерация,,Да,Да,200,,,Не архивируется,,52184,RU,"194.190.9.32,194.190.9.31",Федеральная исполнительная власть
meteorf.ru,,Официальный сайт Росгидромета,Сайт органа власти,Росгидромет,Активен,Российская Федерация,,Да,Нет,200,,,Наивысший,Web Archive,30853,RU,193.7.162.133,Федеральная исполнительная власть
gost.ru,rst.gov.ru,Официальный сайт Росстандарта,Сайт органа власти,Росстандарт,Перенаправляет,Российская Федерация,,Да,Да,200,,,Не архивируется,,43797,RU,195.68.252.28,Федеральная исполнительная власть
minvr.ru,minvr.gov.ru,Официальный сайт Минвостокразвития России,Сайт органа власти,Минвостокразвития РФ,Перенаправляет,Российская Федерация,,Да,Да,200,,,Не архивируется,,25159,RU,31.173.55.235,Федеральная исполнительная власть
minsvyaz.ru,digital.gov.ru,Официальный сайт Минкомсвязи России,Сайт органа власти,Минкомсвязь России,Перенаправляет,Российская Федерация,,Да,Да,200,,,Не архивируется,,202990,RU,92.255.60.103,Федеральная исполнительная власть
fapmc.ru,fapmc.gov.ru,Официальный сайт Роспечати,Сайт органа власти,Роспечать,Перенаправляет,Российская Федерация,,Да,Да,200,,,Не архивируется,,25159,RU,83.222.213.30,Федеральная исполнительная власть
rossvyaz.ru,rossvyaz.gov.ru,Официальный сайт Россвязи,Сайт органа власти,Россвязь,Перенаправляет,Российская Федерация,,Да,Да,200,,,Не архивируется,,43797,RU,194.226.91.2,Федеральная исполнительная власть
mcx.ru,mcx.gov.ru,Официальный сайт Минсельхоза России,Сайт органа власти,Минсельхоз России,Перенаправляет,Российская Федерация,,Да,Нет,200,,,Не архивируется,,51532,RU,46.31.153.120,Федеральная исполнительная власть
fsvps.ru,fsvps.gov.ru,Официальный сайт Россельхознадзора,Сайт органа власти,Россельхознадзор,Перенаправляет,Российская Федерация,,Да,Да,200,,,Не архивируется,,60518,RU,62.76.145.82,Федеральная исполнительная власть
mintrans.ru,mintrans.gov.ru,Официальный сайт Минтранса России,Сайт органа власти,Минтранс России,Перенаправляет,Российская Федерация,,Да,Да,200,,,Не архивируется,,43797,RU,95.173.157.50,Федеральная исполнительная власть
minstroyrf.ru,minstroyrf.gov.ru,Официальный сайт Минстроя России,Сайт органа власти,Минстрой России,Перенаправляет,Российская Федерация,,Да,Да,200,,,Не архивируется,,39494,RU,89.104.77.11,Федеральная исполнительная власть
favt.ru,,Официальный сайт Росавиации,Сайт органа власти,Росавиация,Активен,Российская Федерация,,Да,Да,200,,,Наивысший,Web Archive,43797,RU,194.226.91.6,Федеральная исполнительная власть
rostransnadzor.ru,rostransnadzor.gov.ru,Официальный сайт Ространснадзора,Сайт органа власти,Ространснадзор,Перенаправляет,Российская Федерация,,Да,Да,200,,,Не архивируется,,12695,RU,89.208.226.42,Федеральная исполнительная власть
rosmintrud.ru,mintrud.gov.ru,Официальный сайт Минтруда России,Сайт органа власти,Минтруд России,Перенаправляет,Российская Федерация,,Да,Да,403,,,Не архивируется,,43797,RU,95.173.157.45,Федеральная исполнительная власть
minfin.ru,,Официальный сайт Минфина России,Сайт органа власти,Минфин России,Активен,Российская Федерация,,Да,Да,200,,,Наивысший,Web Archive,41636,RU,195.80.224.142,Федеральная исполнительная власть
rostrud.ru,rostrud.gov.ru,Официальный сайт Роструда,Сайт органа власти,Роструд,Перенаправляет,Российская Федерация,Единый портал Федеральной службы по труду и занятости,Да,Нет,403,,,Не архивируется,,49063,RU,91.107.66.166,Федеральная исполнительная власть
nalog.ru,,Официальный сайт ФНС России,Сайт органа власти,ФНС России,Активен,Российская Федерация,,Да,Да,200,,,Наивысший,Web Archive,8342,RU,"81.176.70.2,81.176.235.2",Федеральная исполнительная власть
fsrar.ru,fsrar.gov.ru,Официальный сайт Росалкогольрегулирования,Сайт органа власти,Росалкогольрегулирование,Перенаправляет,Российская Федерация,,Нет,Нет,,,,Не архивируется,,61166,RU,146.120.90.25,Федеральная исполнительная власть
customs.ru,customs.gov.ru,Официальный сайт ФТС России,Сайт органа власти,ФТС России,Перенаправляет,Российская Федерация,,Да,Нет,200,,,Не архивируется,,12695,RU,89.208.226.45,Федеральная исполнительная власть
roskazna.ru,roskazna.gov.ru,Официальный сайт Федерального казначейства,Сайт органа власти,Федеральное казначейство,Перенаправляет,Российская Федерация,,Да,Да,403,,,Не архивируется,,43797,RU,95.173.157.58,Федеральная исполнительная власть
rosim.ru,,Официальный сайт Росимущества,Сайт органа власти,Росимущество,Активен,Российская Федерация,,Да,Да,200,,,Наивысший,Web Archive,31379,RU,193.151.0.70,Федеральная исполнительная власть
rupto.ru,rospatent.gov.ru,Официальный сайт Роспатента,Сайт органа власти,Роспатент,Пустая страница,Российская Федерация,,Да,Да,403,,,Не архивируется,Web Archive,43797,RU,194.226.89.113,Федеральная исполнительная власть
fsb.ru,,Официальный сайт ФСБ России,Сайт органа власти,ФСБ России,Активен,Российская Федерация,,Да,Нет,200,,,Наивысший,Web Archive,8342,RU,213.24.76.23,Федеральная исполнительная власть
archives.ru,,Официальный сайт Росархива,Сайт органа власти,Росархив,Активен,Российская Федерация,,Да,Нет,200,,,Наивысший,Web Archive,8882,RU,212.22.95.39,Федеральная исполнительная власть
rosgvard.ru,,Официальный сайт Росгвардии,Сайт органа власти,Росгвардия,Активен,Российская Федерация,,Да,Да,200,,,Наивысший,Web Archive,43797,RU,95.173.157.25,Федеральная исполнительная власть
fedsfm.ru,,Официальный сайт Росфинмониторинга,Сайт органа власти,Росфинмониторинг,Активен,Российская Федерация,,Да,Нет,200,,,Наивысший,Web Archive,12389,RU,188.254.86.133,Федеральная исполнительная власть
udprf.ru,,Официальный сайт Управления делами Президента РФ,Сайт органа власти,Управление делами Президента РФ,Активен,Российская Федерация,,Да,Да,200,,,Наивысший,Web Archive,51437,RU,"185.168.63.10,185.168.63.11",Федеральная исполнительная власть
gfs.ru,gfs.gov.ru,Официальный сайт ГФС России,Сайт органа власти,ГФС России,Перенаправляет,Российская Федерация,,Да,Да,200,,,Не архивируется,,43797,RU,95.173.157.8,Федеральная исполнительная власть
rospotrebnadzor.ru,,Официальный сайт Роспотребнадзора,Сайт органа власти,Роспотребнадзор,Активен,Российская Федерация,,Да,Да,200,,,Наивысший,Web Archive,6903,RU,195.2.69.145,Федеральная исполнительная власть
gosnadzor.ru,,Официальный сайт Ростехнадзора,Сайт органа власти,Ростехнадзор,Активен,Российская Федерация,,Да,Нет,200,,,Наивысший,Web Archive,12389,RU,213.24.167.69,Федеральная исполнительная власть
rosreserv.ru,rosrezerv.gov.ru,Официальный сайт Росрезерва,Сайт органа власти,Росрезерв,Перенаправляет,Российская Федерация,,Да,Да,200,,,Не архивируется,,43797,RU,95.173.157.17,Федеральная исполнительная власть
mvd.ru,xn--b1aew.xn--p1ai,Официальный сайт МВД России,Сайт органа власти,МВД России,Перенаправляет,Российская Федерация,,Да,Да,200,,,Не архивируется,,209030,RU,"82.202.189.118,82.202.189.119",Федеральная исполнительная власть
mchs.ru,mchs.gov.ru,Официальный сайт МЧС России,Сайт органа власти,МЧС России,Перенаправляет,Российская Федерация,,Да,Да,200,,,Не архивируется,,203714,RU,176.53.181.41,Федеральная исполнительная власть
rosminzdrav.ru,minzdrav.gov.ru,Официальный сайт Минздрава России,Сайт органа власти,Минздрав России,Перенаправляет,Российская Федерация,,Да,Да,200,,,Не архивируется,,199148,RU,194.0.219.107,Федеральная исполнительная власть
