Name,Domains,Notes,Attachments
Алтайский край,"akstat.gks.ru,tu22.rosim.ru,tu22.old.rosim.ru,altai-krai.arbitr.ru,22.fsin.su,www.22.fsin.su,r22.fss.ru,www.altai-terr.izbirkom.ru,www.altai_terr.izbirkom.ru,22.mchs.gov.ru,www.22.mchs.gov.ru,to22.minjust.ru,alt.msudrf.ru,biysk2.alt.msudrf.ru,biysk5.alt.msudrf.ru,biysk9.alt.msudrf.ru,blag1.alt.msudrf.ru,habrn.alt.msudrf.ru,ind2.alt.msudrf.ru,ind5.alt.msudrf.ru,ind7.alt.msudrf.ru,ind9.alt.msudrf.ru,len1.alt.msudrf.ru,len2.alt.msudrf.ru,okt1.alt.msudrf.ru,okt2.alt.msudrf.ru,rubcovsk3.alt.msudrf.ru,ship2.alt.msudrf.ru,zd3.alt.msudrf.ru,22.mvd.ru,altai.19.mvd.ru,altay.roskazna.ru,22.sledcom.ru,msh.22.mvd.ru,www.22.mvd.ru,altai-krai.sledcom.ru,alt.ssrf.ru,aleysky.alt.sudrf.ru,altaisky.alt.sudrf.ru,biysky.alt.sudrf.ru,celinniy.alt.sudrf.ru,centralny.alt.sudrf.ru,egorevsky.alt.sudrf.ru,kalmansky.alt.sudrf.ru,kamensky.alt.sudrf.ru,kulundinsky.alt.sudrf.ru,kytmanovsky.alt.sudrf.ru,leninsky.alt.sudrf.ru,mamontovsky.alt.sudrf.ru,novaltaisky.alt.sudrf.ru,pavlovsky.alt.sudrf.ru,rebrihinsky.alt.sudrf.ru,rodinsky.alt.sudrf.ru,romanovsky.alt.sudrf.ru,rubtcovsky.alt.sudrf.ru,slavgorodsky.alt.sudrf.ru,soltonsky.alt.sudrf.ru,tabunsky.alt.sudrf.ru,talmensky.alt.sudrf.ru,ukalmansky.alt.sudrf.ru,usd.alt.sudrf.ru,zalesovsky.alt.sudrf.ru,zavialovsky.alt.sudrf.ru,kraevoy.alt.sudrf.ru,www.altai_terr.vybory.izbirkom.ru",,
Амурская область,"amuras.arbitr.ru,www.amur.fas.gov.ru,28.fsin.su,www.r28.fss.ru,amurstat.gks.ru,amur.izbirkom.ru,www.amur.izbirkom.ru,28.mchs.gov.ru,www.28.mchs.gov.ru,to28.minjust.ru,amr.msudrf.ru,bel1.amr.msudrf.ru,28.mvd.ru,koms.27.mvd.ru,msch.28.mvd.ru,tu28.rosim.ru,tu28.old.rosim.ru,amur.roskazna.ru,amur.sledcom.ru,blag-gs.amr.sudrf.ru,oblsud.amr.sudrf.ru,serishevskiy.amr.sudrf.ru,tindinskiy.amr.sudrf.ru,zeiskiy.amr.sudrf.ru,sgvs.amr.sudrf.ru,blag1.amr.msudrf.ru,blag5.amr.msudrf.ru,amur.fsb.ru,www.amur.fsb.ru,www.amur.vybory.izbirkom.ru",,
Архангельская область,"arhangelsk.arbitr.ru,arhangelsk.fas.gov.ru,29.fsin.su,www.29.fsin.su,r29.fss.ru,www.r29.fss.ru,arhangelskstat.gks.ru,www.arkhangelsk.izbirkom.ru,29.mchs.gov.ru,www.29.mchs.gov.ru,to29.minjust.ru,10svd.arh.msudrf.ru,1ic.arh.msudrf.ru,1okt.arh.msudrf.ru,1pls.arh.msudrf.ru,1vf.arh.msudrf.ru,2hlm.arh.msudrf.ru,2kor.arh.msudrf.ru,2okt.arh.msudrf.ru,2sol.arh.msudrf.ru,3okt.arh.msudrf.ru,4lmn.arh.msudrf.ru,arh.msudrf.ru,mao.arh.msudrf.ru,29.mvd.ru,msh.29.mvd.ru,arhangelsk.roskazna.ru,fbuz29.rospotrebnadzor.ru,ark.ssrf.ru,kotlasgrsud.arh.sudrf.ru,lomonosovsky.arh.sudrf.ru,mirnsud.arh.sudrf.ru,oblsud.arh.sudrf.ru,oktsud.arh.sudrf.ru,primsud.arh.sudrf.ru,seversud.arh.sudrf.ru,sudis.arh.sudrf.ru,usd.arh.sudrf.ru,ustyansud.arh.sudrf.ru,velsksud.arh.sudrf.ru,vinogsud.arh.sudrf.ru,29.sledcom.ru,arh.sledcom.ru,tu29.old.rosim.ru,tu29.rosim.ru,vmgvs.arh.sudrf.ru,mru29.fmbaros.ru,r29.fssprus.ru,29.gibdd.ru,www.29.rospotrebnadzor.ru,29.rospotrebnadzor.ru,29.rkn.gov.ru,deti.r29.nalog.ru,ugadn2983.tu.rostransnadzor.ru,git29.rostrud.ru,www.git29.rostrud.ru,29.rpn.gov.ru,www.arkhangelsk.vybory.izbirkom.ru",,
Астраханская область,"astrahan.arbitr.ru,astrahan.fas.gov.ru,astrahan.roskazna.ru,astrakhan.zapoved.ru,astrakhan.izbirkom.ru,www.astrakhan.izbirkom.ru,www.astrakhan.vybory.izbirkom.ru,30.fsin.su,www.30.fsin.su,r30.fss.ru,astrastat.gks.ru,30.mchs.gov.ru,kir2.ast.msudrf.ru,kir3.ast.msudrf.ru,kir6.ast.msudrf.ru,kmz2.ast.msudrf.ru,len3.ast.msudrf.ru,len4.ast.msudrf.ru,len5.ast.msudrf.ru,priv1.ast.msudrf.ru,sov1.ast.msudrf.ru,sov2.ast.msudrf.ru,sov4.ast.msudrf.ru,sov5.ast.msudrf.ru,sov6.ast.msudrf.ru,sov7.ast.msudrf.ru,30.mvd.ru,asvu.mvd.ru,tu30.rosim.ru,30.rospotrebnadzor.ru,30.sledcom.ru,astr.sledcom.ru,ast.ssrf.ru,ahtubinsky.ast.sudrf.ru,ikryaninsky.ast.sudrf.ru,kamizyaksky.ast.sudrf.ru,kirovsky.ast.sudrf.ru,leninsky.ast.sudrf.ru,limansky.ast.sudrf.ru,narimanovsky.ast.sudrf.ru,sovetsky.ast.sudrf.ru,trusovsky.ast.sudrf.ru,volodarsky.ast.sudrf.ru,to30.minjust.ru",,
Белгородская область,"belgorod.sledcom.ru,belgorod.arbitr.ru,el.belgorod.arbitr.ru,belgorod.roskazna.ru,old.belgorod.roskazna.ru,belgorod.izbirkom.ru,www.belgorod.izbirkom.ru,www.belgorod.vybory.izbirkom.ru,31.fsin.su,www.31.fsin.su,r31.fss.ru,belg.gks.ru,31.mchs.gov.ru,www.31.mchs.gov.ru,to31.minjust.ru,alex2.blg.msudrf.ru,belgr1.blg.msudrf.ru,blg.msudrf.ru,stosk1.blg.msudrf.ru,stosk11.blg.msudrf.ru,stosk2.blg.msudrf.ru,stosk3.blg.msudrf.ru,stosk4.blg.msudrf.ru,stosk6.blg.msudrf.ru,stoskr1.blg.msudrf.ru,valuiki4.blg.msudrf.ru,volokon1.blg.msudrf.ru,vostok5.blg.msudrf.ru,yakovlevo1.blg.msudrf.ru,zapad7.blg.msudrf.ru,31.mvd.ru,belui.mvd.ru,msch.31.mvd.ru,tu31.rosim.ru,tu31.old.rosim.ru,31.sledcom.ru,31.rospotrebnadzor.ru,www.bel.parliament.gov.ru,usd.blg.sudrf.ru,sverdlovsky.blg.sudrf.ru,yakovlensky.blg.sudrf.ru,starooskolskygor.blg.sudrf.ru,rovensky.blg.sudrf.ru,prohorovsky.blg.sudrf.ru,oblsud.blg.sudrf.ru,krasnogvardeisky.blg.sudrf.ru,gubkinsky.blg.sudrf.ru,alekseevsky.blg.sudrf.ru,bel.ssrf.ru,bel.parliament.gov.ru,www.pfrf.ru,40gvs.blg.sudrf.ru,ic.31.mvd.ru,31.rkn.gov.ru,www.31.rospotrebnadzor.ru,ugadn31.tu.rostransnadzor.ru,ugadn4312.tu.rostransnadzor.ru,git31.rostrud.ru,r31.fssprus.ru,www.r31.fssprus.ru,31.gosuslugi.ru,mru31.fmbaros.ru,ru31.fmbaros.ru,docs.parliament.gov.ru",,
Брянская область,"bryansk.32.mvd.ru,bryansk.gks.ru,bryansk.sledcom.ru,bryansk.arbitr.ru,www.bryansk.arbitr.ru,bryansk.fas.gov.ru,bryansk.roskazna.ru,old.bryansk.roskazna.ru,bryansk.izbirkom.ru,www.bryansk.vybory.izbirkom.ru,32.fsin.su,www.32.fsin.su,32.mchs.gov.ru,to32.minjust.ru,11.brj.msudrf.ru,21.brj.msudrf.ru,62.brj.msudrf.ru,76.brj.msudrf.ru,32.mvd.ru,bf.vipk.mvd.ru,br.32.mvd.ru,msch.32.mvd.ru,32.rkn.gov.ru,tu32.rosim.ru,tu32.old.rosim.ru,32.rospotrebnadzor.ru,www.32.rospotrebnadzor.ru,32.sledcom.ru,bry.ssrf.ru,brasovsky.brj.sudrf.ru,gvs.brj.sudrf.ru,volodarsky.brj.sudrf.ru,vigonichsky.brj.sudrf.ru,unechsky.brj.sudrf.ru,sovetsky.brj.sudrf.ru,sevsky.brj.sudrf.ru,oblsud.brj.sudrf.ru,navlinsky.brj.sudrf.ru,klimovsky.brj.sudrf.ru,fokinsky.brj.sudrf.ru,briansky.brj.sudrf.ru,mglinsky.brj.sudrf.ru,tu40.rosim.ru",,
Владимирская область,"tu33.rosim.ru,vladimir.arbitr.ru,www.vladimir.arbitr.ru,vladimir.fas.gov.ru,33.fsin.su,www.33.fsin.su,www.vui.fsin.su,33.fsvps.ru,vladimirstat.gks.ru,vladimir.izbirkom.ru,www.vladimir.izbirkom.ru,33.mchs.gov.ru,www.33.mchs.gov.ru,to33.minjust.ru,33.mvd.ru,msh.33.mvd.ru,tu33.old.rosim.ru,vladimir.roskazna.ru,33.rospotrebnadzor.ru,33.sledcom.ru,vladimir.sledcom.ru,vla.ssrf.ru,len1.wld.msudrf.ru,len2.wld.msudrf.ru,len3.wld.msudrf.ru,len4.wld.msudrf.ru,len5.wld.msudrf.ru,len6.wld.msudrf.ru,oct3.wld.msudrf.ru,muromsky.wld.sudrf.ru,frunzensky.wld.sudrf.ru,gorohovecky.wld.sudrf.ru,kameshkovsky.wld.sudrf.ru,kolchuginsky.wld.sudrf.ru,leninsky.wld.sudrf.ru,oblsud.wld.sudrf.ru,oktiabrsky.wld.sudrf.ru,selivanovsky.wld.sudrf.ru,sobinsky.wld.sudrf.ru,suzdalsky.wld.sudrf.ru,usd.wld.sudrf.ru,viaznikovsky.wld.sudrf.ru,95gvs.wld.sudrf.ru,sel1.wld.msudrf.ru,aleks1.wld.msudrf.ru,aleks6.wld.msudrf.ru,kir1.wld.msudrf.ru,kov1.wld.msudrf.ru",,
Волгоградская область,"volgograd.arbitr.ru,www.volgograd.arbitr.ru,volgograd.fas.gov.ru,34.fsin.su,www.34.fsin.su,volgastat.gks.ru,www.volgograd.izbirkom.ru,34.mchs.gov.ru,www.34.mchs.gov.ru,to34.minjust.ru,100.vol.msudrf.ru,107.vol.msudrf.ru,109.vol.msudrf.ru,113.vol.msudrf.ru,118.vol.msudrf.ru,119.vol.msudrf.ru,120.vol.msudrf.ru,137.vol.msudrf.ru,140.vol.msudrf.ru,143.vol.msudrf.ru,26.vol.msudrf.ru,27.vol.msudrf.ru,40.vol.msudrf.ru,60.vol.msudrf.ru,75.vol.msudrf.ru,84.vol.msudrf.ru,85.vol.msudrf.ru,89.vol.msudrf.ru,96.vol.msudrf.ru,34.mvd.ru,msch.34.mvd.ru,umvd.34.mvd.ru,va.mvd.ru,tu34.rosim.ru,tu34.old.rosim.ru,volgograd.roskazna.ru,71.vol.msudrf.ru,34.rospotrebnadzor.ru,34.sledcom.ru,volgograd.sledcom.ru,vgg.ssrf.ru,buk.vol.sudrf.ru,chern.vol.sudrf.ru,frol.vol.sudrf.ru,kalah.vol.sudrf.ru,kam.vol.sudrf.ru,kir.vol.sudrf.ru,kotel.vol.sudrf.ru,kotov.vol.sudrf.ru,krasn.vol.sudrf.ru,krokt.vol.sudrf.ru,krslob.vol.sudrf.ru,kum.vol.sudrf.ru,lenin.vol.sudrf.ru,mihal.vol.sudrf.ru,novan.vol.sudrf.ru,novnin.vol.sudrf.ru,oblsud.vol.sudrf.ru,rudn.vol.sudrf.ru,seraf.vol.sudrf.ru,sov.vol.sudrf.ru,starop.vol.sudrf.ru,surov.vol.sudrf.ru,svetl.vol.sudrf.ru,urup.vol.sudrf.ru,usd.vol.sudrf.ru,vor.vol.sudrf.ru,zent.vol.sudrf.ru,alekseevka.34.mvd.ru",,
Вологодская область,"vologda.arbitr.ru,www.vologda.arbitr.ru,vologda.fas.gov.ru,vipe.fsin.su,www.35.fsin.su,www.vipe.fsin.su,vologdastat.gks.ru,vologod.izbirkom.ru,www.vologod.izbirkom.ru,35.mchs.gov.ru,www.35.mchs.gov.ru,to35.minjust.ru,35.mvd.ru,msh.35.mvd.ru,tu35.rosim.ru,vologodskaya.roskazna.ru,35.rospotrebnadzor.ru,35.sledcom.ru,vologda.sledcom.ru,vlg.ssrf.ru,babaevsky.vld.sudrf.ru,belozersky.vld.sudrf.ru,cherepoveckygor.vld.sudrf.ru,griazovecky.vld.sudrf.ru,kirillovsky.vld.sudrf.ru,nikolsky.vld.sudrf.ru,oblsud.vld.sudrf.ru,sheksninsky.vld.sudrf.ru,totemsky.vld.sudrf.ru,usd.vld.sudrf.ru,vashkinsky.vld.sudrf.ru,vologodsky.vld.sudrf.ru,vologodskygor.vld.sudrf.ru,68.vld.msudrf.ru,60.vld.msudrf.ru,56.vld.msudrf.ru,25.vld.msudrf.ru,29.rpn.gov.ru,www.vologod.vybory.izbirkom.ru",,
Воронежская область,"voronej.arbitr.ru,voronezh.fas.gov.ru,vi.fsin.su,www.36.fsin.su,voronezhstat.gks.ru,voronezh.izbirkom.ru,www.voronezh.izbirkom.ru,36.mchs.gov.ru,to36.minjust.ru,borisogl1.vrn.msudrf.ru,borisogl4.vrn.msudrf.ru,centr3.vrn.msudrf.ru,centr4.vrn.msudrf.ru,ertil2.vrn.msudrf.ru,komintern12.vrn.msudrf.ru,komintern2.vrn.msudrf.ru,komintern3.vrn.msudrf.ru,komintern4.vrn.msudrf.ru,komintern5.vrn.msudrf.ru,komintern6.vrn.msudrf.ru,komintern8.vrn.msudrf.ru,komintern9.vrn.msudrf.ru,leninsky3.vrn.msudrf.ru,leninsky4.vrn.msudrf.ru,levober2.vrn.msudrf.ru,levober4.vrn.msudrf.ru,levober6.vrn.msudrf.ru,levober7.vrn.msudrf.ru,liski4.vrn.msudrf.ru,repievk1.vrn.msudrf.ru,sovetsk3.vrn.msudrf.ru,zhelezn1.vrn.msudrf.ru,zhelezn3.vrn.msudrf.ru,36.mvd.ru,msh.36.mvd.ru,vi.mvd.ru,tu36.rosim.ru,tu36.old.rosim.ru,voronezh.roskazna.ru,36.sledcom.ru,voronezh.sledcom.ru,vor.ssrf.ru,borisoglebsky.vrn.sudrf.ru,centralny.vrn.sudrf.ru,kashirsky.vrn.sudrf.ru,lensud.vrn.sudrf.ru,liskinsky.vrn.sudrf.ru,oblsud.vrn.sudrf.ru,sovetsky.vrn.sudrf.ru,zheleznodorozhny.vrn.sudrf.ru,www.voronezh.vybory.izbirkom.ru",,
